Timestamp,Ax(m/s^2),Ay(m/s^2),Az(m/s^2),Gx(deg/s),Gy(deg/s),Gz(deg/s)
1745320804.1125,0.0144,0.0503,9.9551,-1.6870,-1.5878,0.2443
1745320804.2186,0.3112,0.2753,9.6462,-1.5649,-0.9847,0.4427
1745320804.3269,0.1389,0.2346,9.6151,-0.0076,-0.7786,0.1450
1745320804.4329,0.2083,0.0431,10.0748,-1.4275,-1.7023,0.1985
1745320804.5391,0.3017,0.2059,9.4595,-1.6336,-0.1145,0.1908
1745320804.6451,0.1628,0.2418,9.6917,-1.9313,-1.0305,0.3588
1745320804.7511,0.2442,0.1532,9.8114,-1.6031,-1.0000,0.2824
1745320804.8571,0.2203,0.1700,9.5265,-1.7634,-0.8702,0.2061
1745320804.9631,0.1437,0.1700,9.7348,-1.3740,-0.9924,-1.9313
1745320805.0691,0.2658,0.1508,9.6678,-1.6107,-0.9084,0.3740
1745320805.1752,0.2179,0.1987,9.6151,-1.5878,-0.6336,0.2824
1745320805.2812,0.2203,0.1245,9.7085,-1.6412,-1.0076,0.5267
1745320805.3872,0.2514,0.1915,9.6726,-1.8092,-0.7023,-0.1069
1745320805.4932,0.1939,0.1197,9.6798,-1.7710,-0.8855,0.1985
1745320805.5993,0.2155,0.0503,9.6845,-1.6260,-0.9847,0.1221
1745320805.7053,0.2370,0.1604,9.7420,-1.7557,-0.9008,0.1832
1745320805.8114,0.1437,0.1413,9.7109,-1.7481,-1.0458,0.1832
1745320805.9174,0.2370,0.1484,9.4619,-1.8779,-0.3130,-0.1145
1745320806.0234,0.2251,0.2634,9.7659,-1.7710,-0.8626,0.1908
1745320806.1294,0.1652,0.1293,9.8952,-1.6336,-1.0611,0.3511
1745320806.2354,0.2586,0.0886,10.0245,-1.5802,-0.8702,0.2366
1745320806.3415,0.2418,0.2753,9.4739,-1.9160,1.9466,0.0687
1745320806.4475,0.3089,0.1772,9.5648,-1.7023,-0.7939,0.1145
1745320806.5535,0.1604,0.0790,9.8306,-1.6183,-1.1985,0.1450
1745320806.6595,0.0694,0.1556,9.6271,-1.7099,-0.7023,0.1603
1745320806.7656,0.2729,0.2274,9.6893,-1.3740,-1.0076,0.1298
1745320806.8718,0.2610,0.0934,10.0700,-1.6412,-1.2290,0.3282
1745320806.9779,0.2538,0.1437,9.8521,-1.4733,-1.6260,0.1527
1745320807.0839,0.2777,0.2466,9.5457,-1.9084,-0.7634,0.1298
1745320807.1910,0.1796,0.1915,9.7252,-1.7176,-0.8244,0.0611
1745320807.2970,0.1652,0.1652,9.6702,-1.7176,-1.0534,-0.0687
1745320807.4031,0.3256,0.1867,9.8450,-1.6412,-1.3206,1.9237
1745320807.5121,0.2131,0.1197,9.6079,-1.7939,-0.5802,1.9313
1745320807.6181,0.2490,0.0982,9.4834,-1.6031,-0.1603,0.0382
1745320807.7241,0.2849,0.2203,9.5026,-1.5344,-0.8702,0.0000
1745320807.8302,0.1317,0.2131,9.6127,-1.9389,-0.9466,0.0305
1745320807.9364,0.2586,0.1101,9.6247,-1.6641,-0.8473,1.9313
1745320808.0424,0.1772,0.2945,9.8234,-1.4733,-0.7710,0.0687
1745320808.1484,0.1987,0.1820,9.7516,-1.6641,-0.8931,0.2061
1745320808.2544,0.1867,0.1724,9.6654,-1.6183,-1.0153,0.1908
1745320808.3604,0.4573,0.2346,9.6343,-1.8473,-0.5191,0.1527
1745320808.4665,0.2083,0.2993,9.5648,-1.9542,-0.6260,-0.1679
1745320808.5725,0.2083,0.1604,9.6702,-1.4809,-0.9924,0.1908
1745320808.6785,0.1748,0.1460,9.6822,-1.7176,-0.8244,-0.0916
1745320808.7845,0.2610,0.1365,9.7803,-1.6565,-0.8931,0.0687
1745320808.8905,0.2251,0.1867,9.6917,-1.6031,-0.9466,0.2595
1745320808.9966,0.2059,0.1796,9.7300,-1.6947,-0.8550,0.2061
1745320809.1026,0.1173,0.1580,9.7731,-1.5420,-1.2214,0.1832
1745320809.2086,0.2753,0.2466,9.4236,-2.0229,-0.4885,0.1756
1745320809.3181,0.2418,0.1676,9.6175,-1.7557,-0.5878,0.3282
1745320809.4262,0.2538,0.1915,9.6774,-1.5725,-0.9237,0.0992
1745320809.5323,0.1772,0.2011,9.5170,-1.7939,-0.8702,-0.0229
1745320809.6423,0.2777,0.1820,9.6391,-1.7328,-0.5496,0.2061
1745320809.7502,0.2682,0.1915,9.6678,-1.5878,-1.0763,0.2443
