Timestamp,Ax(m/s^2),Ay(m/s^2),Az(m/s^2),Gx(deg/s),Gy(deg/s),Gz(deg/s)
1745409426.8090,0.2083,0.1700,10.0245,-2.1298,1.3053,1.9237
1745409426.9151,0.2945,0.2610,9.4906,-2.4275,0.5191,1.9008
1745409427.0211,-0.0503,0.0527,10.5632,-1.5878,-1.1450,0.3969
1745409427.1272,0.0599,0.3232,9.5170,-2.6336,-0.0840,0.2595
1745409427.2333,0.1269,-0.0886,10.4818,-1.3282,-2.4275,0.4198
1745409427.3394,0.1939,0.2945,9.6630,-2.5649,-1.1145,0.3282
1745409427.4455,0.0335,0.1197,10.1562,-1.1985,-1.2977,0.3435
1745409427.5516,0.1915,0.2298,9.8713,-2.4198,-0.1603,0.1450
1745409427.6584,0.3519,0.2921,9.0908,-2.4733,0.2901,0.0076
1745409427.7704,-0.1676,0.0670,10.0963,-1.3053,-3.0916,0.3588
1745409427.8764,0.2538,0.5219,9.7971,-2.6412,-0.4733,0.4504
1745409427.9825,0.3639,0.0814,9.6534,-1.3282,-1.3053,0.5115
1745409428.0885,0.3615,0.2179,10.0772,-2.6947,0.9924,1.9160
1745409428.1945,0.1149,0.3041,9.8114,-1.5115,-0.4580,0.2748
1745409428.3006,0.0000,0.2849,10.0054,-2.5649,0.9008,0.4733
